id_client;code_client;prenom;nom;email;id_ville
1;M1S5;MARY;SMITH;MARY.SMITH@sakilacustomer.org;463
2;P2J6;PATRICIA;JOHNSON;PATRICIA.JOHNSON@sakilacustomer.org;449
3;L3W7;LINDA;WILLIAMS;LINDA.WILLIAMS@sakilacustomer.org;38
4;B4J8;BARBARA;JONES;BARBARA.JONES@sakilacustomer.org;349
5;E5B9;ELIZABETH;BROWN;ELIZABETH.BROWN@sakilacustomer.org;361
6;J6D10;JENNIFER;DAVIS;JENNIFER.DAVIS@sakilacustomer.org;295
7;M7M11;MARIA;MILLER;MARIA.MILLER@sakilacustomer.org;280
8;S8W12;SUSAN;WILSON;SUSAN.WILSON@sakilacustomer.org;200
9;M9M13;MARGARET;MOORE;MARGARET.MOORE@sakilacustomer.org;329
10;D10T14;DOROTHY;TAYLOR;DOROTHY.TAYLOR@sakilacustomer.org;162
11;L11A15;LISA;ANDERSON;LISA.ANDERSON@sakilacustomer.org;440
12;N12T16;NANCY;THOMAS;NANCY.THOMAS@sakilacustomer.org;582
13;K13J17;KAREN;JACKSON;KAREN.JACKSON@sakilacustomer.org;384
14;B14W18;BETTY;WHITE;BETTY.WHITE@sakilacustomer.org;120
15;H15H19;HELEN;HARRIS;HELEN.HARRIS@sakilacustomer.org;76
16;S16M20;SANDRA;MARTIN;SANDRA.MARTIN@sakilacustomer.org;495
17;D17T21;DONNA;THOMPSON;DONNA.THOMPSON@sakilacustomer.org;156
18;C18G22;CAROL;GARCIA;CAROL.GARCIA@sakilacustomer.org;252
19;R19M23;RUTH;MARTINEZ;RUTH.MARTINEZ@sakilacustomer.org;267
20;S20R24;SHARON;ROBINSON;SHARON.ROBINSON@sakilacustomer.org;327
21;M21C25;MICHELLE;CLARK;MICHELLE.CLARK@sakilacustomer.org;525
22;L22R26;LAURA;RODRIGUEZ;LAURA.RODRIGUEZ@sakilacustomer.org;443
23;S23L27;SARAH;LEWIS;SARAH.LEWIS@sakilacustomer.org;303
24;K24L28;KIMBERLY;LEE;KIMBERLY.LEE@sakilacustomer.org;128
25;D25W29;DEBORAH;WALKER;DEBORAH.WALKER@sakilacustomer.org;472
26;J26H30;JESSICA;HALL;JESSICA.HALL@sakilacustomer.org;121
27;S27A31;SHIRLEY;ALLEN;SHIRLEY.ALLEN@sakilacustomer.org;138
28;C28Y32;CYNTHIA;YOUNG;CYNTHIA.YOUNG@sakilacustomer.org;346
29;A29H33;ANGELA;HERNANDEZ;ANGELA.HERNANDEZ@sakilacustomer.org;474
30;M30K34;MELISSA;KING;MELISSA.KING@sakilacustomer.org;316
31;B31W35;BRENDA;WRIGHT;BRENDA.WRIGHT@sakilacustomer.org;257
32;A32L36;AMY;LOPEZ;AMY.LOPEZ@sakilacustomer.org;239
33;A33H37;ANNA;HILL;ANNA.HILL@sakilacustomer.org;17
34;R34S38;REBECCA;SCOTT;REBECCA.SCOTT@sakilacustomer.org;284
35;V35G39;VIRGINIA;GREEN;VIRGINIA.GREEN@sakilacustomer.org;544
36;K36A40;KATHLEEN;ADAMS;KATHLEEN.ADAMS@sakilacustomer.org;31
37;P37B41;PAMELA;BAKER;PAMELA.BAKER@sakilacustomer.org;362
38;M38G42;MARTHA;GONZALEZ;MARTHA.GONZALEZ@sakilacustomer.org;115
39;D39N43;DEBRA;NELSON;DEBRA.NELSON@sakilacustomer.org;569
40;A40C44;AMANDA;CARTER;AMANDA.CARTER@sakilacustomer.org;353
41;S41M45;STEPHANIE;MITCHELL;STEPHANIE.MITCHELL@sakilacustomer.org;586
42;C42P46;CAROLYN;PEREZ;CAROLYN.PEREZ@sakilacustomer.org;394
43;C43R47;CHRISTINE;ROBERTS;CHRISTINE.ROBERTS@sakilacustomer.org;167
44;M44T48;MARIE;TURNER;MARIE.TURNER@sakilacustomer.org;308
45;J45P49;JANET;PHILLIPS;JANET.PHILLIPS@sakilacustomer.org;27
46;C46C50;CATHERINE;CAMPBELL;CATHERINE.CAMPBELL@sakilacustomer.org;343
47;F47P51;FRANCES;PARKER;FRANCES.PARKER@sakilacustomer.org;247
48;A48E52;ANN;EVANS;ANN.EVANS@sakilacustomer.org;367
49;J49E53;JOYCE;EDWARDS;JOYCE.EDWARDS@sakilacustomer.org;237
50;D50C54;DIANE;COLLINS;DIANE.COLLINS@sakilacustomer.org;379
51;A51S55;ALICE;STEWART;ALICE.STEWART@sakilacustomer.org;171
52;J52S56;JULIE;SANCHEZ;JULIE.SANCHEZ@sakilacustomer.org;1
53;H53M57;HEATHER;MORRIS;HEATHER.MORRIS@sakilacustomer.org;355
54;T54R58;TERESA;ROGERS;TERESA.ROGERS@sakilacustomer.org;227
55;D55R59;DORIS;REED;DORIS.REED@sakilacustomer.org;49
56;G56C60;GLORIA;COOK;GLORIA.COOK@sakilacustomer.org;397
57;E57M61;EVELYN;MORGAN;EVELYN.MORGAN@sakilacustomer.org;560
58;J58B62;JEAN;BELL;JEAN.BELL@sakilacustomer.org;282
59;C59M63;CHERYL;MURPHY;CHERYL.MURPHY@sakilacustomer.org;350
60;M60B64;MILDRED;BAILEY;MILDRED.BAILEY@sakilacustomer.org;231
61;K61R65;KATHERINE;RIVERA;KATHERINE.RIVERA@sakilacustomer.org;56
62;J62C66;JOAN;COOPER;JOAN.COOPER@sakilacustomer.org;441
63;A63R67;ASHLEY;RICHARDSON;ASHLEY.RICHARDSON@sakilacustomer.org;306
64;J64C68;JUDITH;COX;JUDITH.COX@sakilacustomer.org;139
65;R65H69;ROSE;HOWARD;ROSE.HOWARD@sakilacustomer.org;105
66;J66W70;JANICE;WARD;JANICE.WARD@sakilacustomer.org;321
67;K67T71;KELLY;TORRES;KELLY.TORRES@sakilacustomer.org;579
68;N68P72;NICOLE;PETERSON;NICOLE.PETERSON@sakilacustomer.org;475
