"id_location";"id_client";"code_client";"prenom";"nom";"email";"id_ville";"ville";"id_pays";"pays";"code_pays";"id_temps";"date_location";"annee";"mois";"jour";"trimestre";"id_contenu";"id_categorie_film";"id_langue_film";"acteur_principal";"date_retour";"montant"
16195;344;H344B349;HENRY;BILLINGSLEY;HENRY.BILLINGSLEY@sakilacustomer.org;370;Nukualofa;95;Tonga;"80C5";16195;2022-05-26;2022;5;26;2;16195;15;1;51;20220526;2.99
16056;270;L270C275;LEAH;CURTIS;LEAH.CURTIS@sakilacustomer.org;255;Kalisz;76;Poland;E492;16056;2022-05-26;2022;5;26;2;16056;15;1;143;20220530;1.99
16075;278;B278H283;BILLIE;HORTON;BILLIE.HORTON@sakilacustomer.org;222;Inegl;97;Turkey;"2C55";16075;2022-05-31;2022;5;31;2;16075;1;1;92;20220603;4.99
16077;279;D279S284;DIANNE;SHELTON;DIANNE.SHELTON@sakilacustomer.org;514;Tabriz;46;Iran;"37F2";16077;2022-05-31;2022;5;31;2;16077;8;1;3;20220603;0.99
16078;280;T280B285;TRACEY;BARRETT;TRACEY.BARRETT@sakilacustomer.org;389;Owo;69;Nigeria;"36CA";16078;2022-05-31;2022;5;31;2;16078;16;1;94;20220601;4.99
16103;294;S294W299;SHELLY;WATTS;SHELLY.WATTS@sakilacustomer.org;140;Dayton;103;United States;C5AB;16103;2022-05-28;2022;5;28;2;16103;1;1;51;20220605;1.99
16107;296;R296H301;RAMONA;HALE;RAMONA.HALE@sakilacustomer.org;400;Patiala;44;India;CF87;16107;2022-05-30;2022;5;30;2;16107;15;1;185;20220603;4.99
16122;303;W303S308;WILLIAM;SATTERFIELD;WILLIAM.SATTERFIELD@sakilacustomer.org;455;Sanaa;107;Yemen;"3199";16122;2022-05-26;2022;5;26;2;16122;13;1;54;20220601;0.99
16129;306;C306K311;CHARLES;KOWALSKI;CHARLES.KOWALSKI@sakilacustomer.org;507;Sungai Petani;59;Malaysia;AA25;16129;2022-05-27;2022;5;27;2;16129;14;1;26;20220604;3.99
16130;306;C306K311;CHARLES;KOWALSKI;CHARLES.KOWALSKI@sakilacustomer.org;507;Sungai Petani;59;Malaysia;AA25;16130;2022-05-28;2022;5;28;2;16130;3;1;128;20220606;6.99
16131;307;J307J312;JOSEPH;JOY;JOSEPH.JOY@sakilacustomer.org;25;Angra dos Reis;15;Brazil;CD6C;16131;2022-05-27;2022;5;27;2;16131;9;1;45;20220603;4.99
16133;307;J307J312;JOSEPH;JOY;JOSEPH.JOY@sakilacustomer.org;25;Angra dos Reis;15;Brazil;CD6C;16133;2022-05-28;2022;5;28;2;16133;8;1;48;20220604;1.99
16154;315;K315G320;KENNETH;GOODEN;KENNETH.GOODEN@sakilacustomer.org;57;Bat Yam;48;Israel;"8637";16154;2022-05-28;2022;5;28;2;16154;5;1;108;20220605;8.99
16164;321;K321S326;KEVIN;SCHULER;KEVIN.SCHULER@sakilacustomer.org;81;Birgunj;66;Nepal;DF73;16164;2022-05-26;2022;5;26;2;16164;11;1;133;20220531;4.99
16167;322;J322M327;JASON;MORRISSEY;JASON.MORRISSEY@sakilacustomer.org;45;Baha Blanca;6;Argentina;E7F8;16167;2022-05-26;2022;5;26;2;16167;1;1;78;20220531;0.99
16173;325;T325B330;TIMOTHY;BUNN;TIMOTHY.BUNN@sakilacustomer.org;89;Braslia;15;Brazil;CD6C;16173;2022-05-25;2022;5;25;2;16173;14;1;167;20220530;5.99
16180;330;S330S335;SCOTT;SHELLEY;SCOTT.SHELLEY@sakilacustomer.org;42;Aurora;103;United States;C5AB;16180;2022-05-30;2022;5;30;2;16180;12;1;27;20220608;7.99
16184;332;S332Q337;STEPHEN;QUALLS;STEPHEN.QUALLS@sakilacustomer.org;143;Dhaka;12;Bangladesh;"7ABF";16184;2022-05-30;2022;5;30;2;16184;5;1;2;20220608;6.99
16189;337;J337J342;JERRY;JORDON;JERRY.JORDON@sakilacustomer.org;382;Onomichi;50;Japan;"3793";16189;2022-05-28;2022;5;28;2;16189;9;1;159;20220602;4.99
16196;344;H344B349;HENRY;BILLINGSLEY;HENRY.BILLINGSLEY@sakilacustomer.org;370;Nukualofa;95;Tonga;"80C5";16196;2022-05-29;2022;5;29;2;16196;13;1;177;20220605;5.99
16197;345;C345A350;CARL;ARTIS;CARL.ARTIS@sakilacustomer.org;453;San Lorenzo;73;Paraguay;C95B;16197;2022-05-26;2022;5;26;2;16197;14;1;195;20220527;0.99
16213;356;G356F361;GERALD;FULTZ;GERALD.FULTZ@sakilacustomer.org;464;Satna;44;India;CF87;16213;2022-05-31;2022;5;31;2;16213;1;1;104;20220606;4.99
16225;362;N362B367;NICHOLAS;BARFIELD;NICHOLAS.BARFIELD@sakilacustomer.org;66;Belm;15;Brazil;CD6C;16225;2022-05-31;2022;5;31;2;16225;10;1;23;20220602;4.99
16244;371;B371P376;BILLY;POULIN;BILLY.POULIN@sakilacustomer.org;98;Cabuyao;75;Philippines;EEF5;16244;2022-05-27;2022;5;27;2;16244;5;1;11;20220602;5.99
