id_client,prenom,nom,email,nombre_locations,total_depense,offre_promotionnelle
18,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,60694.113999999994,Reduction de 30% sur le prochain abonnement
19,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,24,83165.088,Reduction de 30% sur le prochain abonnement
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,21,71942.82699999999,Reduction de 30% sur le prochain abonnement
40,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,27,73225.749,Reduction de 30% sur le prochain abonnement
50,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,35,112189.545,Reduction de 30% sur le prochain abonnement
69,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,24,63326.087999999996,Reduction de 30% sur le prochain abonnement
80,MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,29,89083.723,Reduction de 30% sur le prochain abonnement
81,ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,22,62016.71399999999,Reduction de 30% sur le prochain abonnement
83,LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,24,63987.388,Reduction de 30% sur le prochain abonnement
97,ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,18,38897.666,Reduction de 30% sur le prochain abonnement
103,GLADYS,HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,31,97006.097,Reduction de 30% sur le prochain abonnement
109,EDNA,WEST,EDNA.WEST@sakilacustomer.org,26,71248.462,Reduction de 30% sur le prochain abonnement
119,SHERRY,MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,34,101615.358,Reduction de 30% sur le prochain abonnement
125,ETHEL,WEBB,ETHEL.WEBB@sakilacustomer.org,32,89725.184,Reduction de 30% sur le prochain abonnement
132,ESTHER,CRAWFORD,ESTHER.CRAWFORD@sakilacustomer.org,28,63299.636,Reduction de 30% sur le prochain abonnement
134,EMMA,BOYD,EMMA.BOYD@sakilacustomer.org,23,62671.401,Reduction de 30% sur le prochain abonnement
145,LUCILLE,HOLMES,LUCILLE.HOLMES@sakilacustomer.org,28,71896.536,Reduction de 30% sur le prochain abonnement
156,BERTHA,FERGUSON,BERTHA.FERGUSON@sakilacustomer.org,25,67287.275,Reduction de 30% sur le prochain abonnement
166,LYNN,PAYNE,LYNN.PAYNE@sakilacustomer.org,28,81816.036,Reduction de 30% sur le prochain abonnement
176,JUNE,CARROLL,JUNE.CARROLL@sakilacustomer.org,37,114821.519,Reduction de 30% sur le prochain abonnement
190,YOLANDA,WEAVER,YOLANDA.WEAVER@sakilacustomer.org,26,69925.862,Reduction de 30% sur le prochain abonnement
