id_client,prenom,nom,email,offre
280,TRACEY,BARRETT,TRACEY.BARRETT@sakilacustomer.org,Réduction de 20% sur votre prochaine location
277,OLGA,JIMENEZ,OLGA.JIMENEZ@sakilacustomer.org,Réduction de 20% sur votre prochaine location
363,ROY,WHITING,ROY.WHITING@sakilacustomer.org,Réduction de 20% sur votre prochaine location
284,SONIA,GREGORY,SONIA.GREGORY@sakilacustomer.org,Réduction de 20% sur votre prochaine location
361,LAWRENCE,LAWTON,LAWRENCE.LAWTON@sakilacustomer.org,Réduction de 20% sur votre prochaine location
286,VELMA,LUCAS,VELMA.LUCAS@sakilacustomer.org,Réduction de 20% sur votre prochaine location
338,DENNIS,GILMAN,DENNIS.GILMAN@sakilacustomer.org,Réduction de 20% sur votre prochaine location
352,ALBERT,CROUSE,ALBERT.CROUSE@sakilacustomer.org,Réduction de 20% sur votre prochaine location
409,RODNEY,MOELLER,RODNEY.MOELLER@sakilacustomer.org,Réduction de 20% sur votre prochaine location
250,JO,FOWLER,JO.FOWLER@sakilacustomer.org,Réduction de 20% sur votre prochaine location
257,MARSHA,DOUGLAS,MARSHA.DOUGLAS@sakilacustomer.org,Réduction de 20% sur votre prochaine location
383,MARTIN,BALES,MARTIN.BALES@sakilacustomer.org,Réduction de 20% sur votre prochaine location
387,JESSE,SCHILLING,JESSE.SCHILLING@sakilacustomer.org,Réduction de 20% sur votre prochaine location
375,AARON,SELBY,AARON.SELBY@sakilacustomer.org,Réduction de 20% sur votre prochaine location
432,EDWIN,BURK,EDWIN.BURK@sakilacustomer.org,Réduction de 20% sur votre prochaine location
433,DON,BONE,DON.BONE@sakilacustomer.org,Réduction de 20% sur votre prochaine location
438,BARRY,LOVELACE,BARRY.LOVELACE@sakilacustomer.org,Réduction de 20% sur votre prochaine location
441,MARIO,CHEATHAM,MARIO.CHEATHAM@sakilacustomer.org,Réduction de 20% sur votre prochaine location
528,CLAUDE,HERZOG,CLAUDE.HERZOG@sakilacustomer.org,Réduction de 20% sur votre prochaine location
19,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,Réduction de 20% sur votre prochaine location
69,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,Réduction de 20% sur votre prochaine location
83,LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,Réduction de 20% sur votre prochaine location
176,JUNE,CARROLL,JUNE.CARROLL@sakilacustomer.org,Réduction de 20% sur votre prochaine location
220,CHARLENE,ALVAREZ,CHARLENE.ALVAREZ@sakilacustomer.org,Réduction de 20% sur votre prochaine location
392,SEAN,DOUGLASS,SEAN.DOUGLASS@sakilacustomer.org,Réduction de 20% sur votre prochaine location
535,JAVIER,ELROD,JAVIER.ELROD@sakilacustomer.org,Réduction de 20% sur votre prochaine location
559,EVERETT,BANDA,EVERETT.BANDA@sakilacustomer.org,Réduction de 20% sur votre prochaine location
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,Réduction de 20% sur votre prochaine location
109,EDNA,WEST,EDNA.WEST@sakilacustomer.org,Réduction de 20% sur votre prochaine location
190,YOLANDA,WEAVER,YOLANDA.WEAVER@sakilacustomer.org,Réduction de 20% sur votre prochaine location
395,JOHNNY,TURPIN,JOHNNY.TURPIN@sakilacustomer.org,Réduction de 20% sur votre prochaine location
423,ALFRED,CASILLAS,ALFRED.CASILLAS@sakilacustomer.org,Réduction de 20% sur votre prochaine location
543,LANCE,PEMBERTON,LANCE.PEMBERTON@sakilacustomer.org,Réduction de 20% sur votre prochaine location
562,WALLACE,SLONE,WALLACE.SLONE@sakilacustomer.org,Réduction de 20% sur votre prochaine location
584,SALVADOR,TEEL,SALVADOR.TEEL@sakilacustomer.org,Réduction de 20% sur votre prochaine location
40,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,Réduction de 20% sur votre prochaine location
125,ETHEL,WEBB,ETHEL.WEBB@sakilacustomer.org,Réduction de 20% sur votre prochaine location
132,ESTHER,CRAWFORD,ESTHER.CRAWFORD@sakilacustomer.org,Réduction de 20% sur votre prochaine location
145,LUCILLE,HOLMES,LUCILLE.HOLMES@sakilacustomer.org,Réduction de 20% sur votre prochaine location
156,BERTHA,FERGUSON,BERTHA.FERGUSON@sakilacustomer.org,Réduction de 20% sur votre prochaine location
193,KATIE,ELLIOTT,KATIE.ELLIOTT@sakilacustomer.org,Réduction de 20% sur votre prochaine location
232,CONSTANCE,REID,CONSTANCE.REID@sakilacustomer.org,Réduction de 20% sur votre prochaine location
335,GREGORY,MAULDIN,GREGORY.MAULDIN@sakilacustomer.org,Réduction de 20% sur votre prochaine location
491,RICK,MATTOX,RICK.MATTOX@sakilacustomer.org,Réduction de 20% sur votre prochaine location
50,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,Réduction de 20% sur votre prochaine location
80,MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,Réduction de 20% sur votre prochaine location
134,EMMA,BOYD,EMMA.BOYD@sakilacustomer.org,Réduction de 20% sur votre prochaine location
198,ELSIE,KELLEY,ELSIE.KELLEY@sakilacustomer.org,Réduction de 20% sur votre prochaine location
471,DEAN,SAUER,DEAN.SAUER@sakilacustomer.org,Réduction de 20% sur votre prochaine location
18,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,Réduction de 20% sur votre prochaine location
119,SHERRY,MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,Réduction de 20% sur votre prochaine location
166,LYNN,PAYNE,LYNN.PAYNE@sakilacustomer.org,Réduction de 20% sur votre prochaine location
407,DALE,RATCLIFF,DALE.RATCLIFF@sakilacustomer.org,Réduction de 20% sur votre prochaine location
456,RONNIE,RICKETTS,RONNIE.RICKETTS@sakilacustomer.org,Réduction de 20% sur votre prochaine location
81,ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,Réduction de 20% sur votre prochaine location
97,ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,Réduction de 20% sur votre prochaine location
103,GLADYS,HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,Réduction de 20% sur votre prochaine location
233,LILLIE,KIM,LILLIE.KIM@sakilacustomer.org,Réduction de 20% sur votre prochaine location
555,DWIGHT,LOMBARDI,DWIGHT.LOMBARDI@sakilacustomer.org,Réduction de 20% sur votre prochaine location
481,HERMAN,DEVORE,HERMAN.DEVORE@sakilacustomer.org,Réduction de 20% sur votre prochaine location
